year,sido,adm_cd,sigungu,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female
2017,서울특별시,11010,종로구,157277,76670,80607,9716,15200,28682,21761,24214,24973,17196,11456,4437,603,13733,119870,23674,0.18236614380996585,0.13836098094444832,0.1539576670460398,0.1587835474989986,0.10933575793027588,0.10488501179447726,0.15052423431270942,0.762158484711687,0.5125161339547423
2017,서울특별시,11020,중구,127896,62195,65701,8612,8886,21456,21164,19550,20736,15291,9039,3436,434,11035,97649,19212,0.1677613060611747,0.16547820103834365,0.15285857259022956,0.16213173203227624,0.11955807843873147,0.100933571026459,0.15021580033777443,0.7635031588165384,0.5137064489898042
2017,서울특별시,11030,용산구,223891,108467,115424,17375,17035,33113,39350,37577,34248,24351,15436,6216,781,23214,168123,32554,0.14789786101272495,0.17575516657659307,0.16783613454761467,0.15296729211982615,0.10876274615772853,0.10019607755559624,0.14540111036173853,0.7509145075058845,0.5155365780670058
2017,서울특별시,11040,성동구,302367,149060,153307,25097,23279,49441,52126,48371,47745,32121,18956,6510,785,32628,230303,39436,0.1635132140742872,0.17239315136903166,0.1599744681132531,0.15790413636408734,0.10623183085455754,0.08681833665710875,0.13042428571901035,0.7616671131439608,0.5070229224750056
2017,서울특별시,11050,광진구,363934,177156,186778,26602,30908,66517,62019,57778,57481,37769,20017,6562,825,36540,284819,42575,0.18277215099441108,0.17041276715008766,0.1587595553039837,0.15794347326713085,0.10377980622860189,0.07529936746772767,0.11698549737040233,0.7826116823380064,0.5132194298966296
2017,서울특별시,11060,동대문구,357380,176460,180920,25804,29701,65689,53417,53672,54502,41450,25887,8617,992,34849,269496,53035,0.18380715205103812,0.14946835301359898,0.1501818792321898,0.1525043371201522,0.11598298729643516,0.09932284962784711,0.14839946275672952,0.7540880855112205,0.5062398567351278
2017,서울특별시,11070,중랑구,396892,196346,200546,30608,31450,56425,62561,62191,70229,49346,27178,8564,1030,41192,298451,57249,0.14216713866744607,0.15762726384003709,0.15669502030779153,0.1769473811515475,0.12433105227618596,0.0926498896425224,0.14424327020952804,0.7519703093032866,0.505291111939772
2017,서울특별시,11080,성북구,445417,215068,230349,36852,43326,75124,63673,73439,65880,48055,30889,10649,1275,50926,331288,63203,0.168659929908378,0.14295143651903722,0.1648769579966638,0.14790634394286703,0.10788766481746319,0.09611891777817191,0.14189624554069558,0.7437704443252053,0.5171535886596156
2017,서울특별시,11090,강북구,313698,152464,161234,22312,25737,42899,44382,50745,52602,40851,26989,8321,963,31030,228382,54286,0.13675254544179433,0.14148002218694414,0.16176386205841287,0.1676835682726699,0.13022397337566705,0.11563031960675554,0.1730517886629816,0.7280314187530682,0.5139784123583829
2017,서울특별시,11100,도봉구,332586,161944,170642,25795,30310,44924,45630,53558,58116,42148,24682,8921,1169,35920,244595,52071,0.13507483778631693,0.13719759701250203,0.16103504056093762,0.17473976655661994,0.12672812445502818,0.10455040200128689,0.15656401652504917,0.735433842675278,0.5130763171029448
