year,sido,adm_cd,sigungu,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female
2024,서울특별시,11010,종로구,144486,68604,75882,5959,10074,27231,20477,18655,23189,20718,11442,6448,976,9276,106834,28376,0.18846808687346872,0.14172307351577315,0.12911285522472765,0.16049305815096274,0.14339105518873801,0.1305732043242944,0.19639273009149674,0.7394072782138061,0.5251858311531913
2024,서울특별시,11020,중구,126899,60550,66349,5869,6518,20819,22851,16958,19050,18639,10563,5366,781,7977,93357,25565,0.16405960645867973,0.1800723409955949,0.13363383478199198,0.15011938628357985,0.14688059007557192,0.13167952466134486,0.2014594283642897,0.7356795561824758,0.5228488798178078
2024,서울특별시,11030,용산구,203401,97246,106155,11601,12168,28376,37779,29805,32360,28024,15054,8091,1242,16228,149831,37342,0.13950767203701064,0.1857365499677976,0.14653320288494157,0.159094596388415,0.1377771004075693,0.11989616570223352,0.18358808462101955,0.7366286301443946,0.5219000889867799
2024,서울특별시,11040,성동구,274688,132827,141861,17191,16950,42431,46457,39056,43155,38649,20896,10264,1270,23222,201275,50191,0.15446979846225536,0.16912642707362535,0.14218313140726935,0.15710551607642126,0.14070145037278659,0.11806121854613234,0.18272003145386767,0.7327404182199441,0.5164441111369991
2024,서울특별시,11050,광진구,345130,164812,180318,15958,23792,65605,56885,46890,53214,47308,24661,11226,1464,24511,261405,59214,0.19008779300553413,0.16482195114884246,0.1358618491582882,0.1541853794222467,0.1370729869904094,0.10822298843913887,0.17157013299336482,0.7574102512096891,0.5224639990728132
2024,서울특별시,11060,동대문구,355789,171604,184185,19177,23739,69859,52241,47609,51721,48503,28997,14236,1690,27390,260204,68195,0.1963495217671148,0.14683140850335452,0.13381245625918733,0.14536986809597824,0.1363251814980227,0.1262630379241629,0.19167259246351068,0.7313435772325733,0.5176804229473086
2024,서울특별시,11070,중랑구,375066,182365,192701,19889,22712,47788,58294,51041,62300,63316,34634,15241,1858,28824,264778,81464,0.12741224211205496,0.15542331216372585,0.13608538230604747,0.16610409901190723,0.16881295558648343,0.13793039091786513,0.2171991062906262,0.7059504193928535,0.5137789082454821
2024,서울특별시,11080,성북구,429210,203170,226040,25026,35849,74076,56139,60207,68935,57572,34229,17774,2249,37537,310076,81597,0.1725868456000559,0.13079611379045222,0.14027399175228908,0.16060902588476503,0.1341348058060157,0.12639966449989515,0.190109736492626,0.7224342396495887,0.5266419701311712
2024,서울특별시,11090,강북구,280470,133834,146636,11931,18049,37800,34491,37196,48173,47363,30170,15119,1600,18718,192093,69659,0.13477377259599957,0.12297571932827041,0.13262024458943916,0.17175812029807108,0.16887011088529968,0.16718009056227048,0.2483652440546226,0.6848967804043213,0.5228224052483331
2024,서울특별시,11100,도봉구,296997,142662,154335,14573,20910,35649,36533,39562,51974,52600,30050,14933,1983,22546,201903,72548,0.12003151546985323,0.12300797651154725,0.13320673272794,0.1749984006572457,0.17710616605554938,0.1581362774708162,0.24427182766155886,0.6798149476257336,0.5196517136536732
