election_name,sido,sigungu_norm,sg_id,sg_typecode,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_기본소득당,party_녹색당,party_독도당,party_통일한국당,party_한류연합당,party_기타,sigungu_elec,sgg_name,ratio_더불어민주당,ratio_국민의힘,ratio_기본소득당,ratio_녹색당,ratio_독도당,ratio_통일한국당,ratio_한류연합당,ratio_기타,year,adm_cd,sigungu_pop,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female,pop_year
8회지방선거_광역의원비례,서울특별시,강북구,20220601,8,268130,133368,132002,1366,61886,64376,292,274.0,113.0,115.0,73.0,4873.0,강북구,서울특별시,0.4688262299056075,0.4876895804609021,0.002212087695640975,0.002075726125361737,0.0008560476356418843,0.0008711989212284662,0.0005530219239102438,0.036916107331707096,2022,11090,강북구,287788,138515,149273,14484,19194,40055,35696,40896,49177,46274,28997,13380,1379,21655,201430,64703,0.1391823147594757,0.1240357485371176,0.1421046047785175,0.1708792583429469,0.1607919718681807,0.1520424757112874,0.2248286933437113,0.6999249447509973,0.5186908418697096,2022
8회지방선거_광역의원비례,서울특별시,강서구,20220601,8,504606,260902,258316,2586,114067,130979,536,557.0,192.0,143.0,105.0,11737.0,강서구,서울특별시,0.4415793059663358,0.5070495052571269,0.002074977934003314,0.002156273711268369,0.0007432756778519333,0.0005535855309001379,0.000406478886325276,0.045436597036188235,2022,11160,강서구,555999,266085,289914,37720,40315,79873,96385,85671,81572,79061,40874,16382,2424,53586,407294,95119,0.1436567331955633,0.1733546283356624,0.154084809505053,0.1467124940872196,0.1421962989142066,0.1073383225509398,0.171077645823104,0.7325444829936745,0.5214289953758909,2022
8회지방선거_광역의원비례,서울특별시,관악구,20220601,8,450180,226760,224628,2132,104328,106468,564,1199.0,173.0,114.0,95.0,11687.0,관악구,서울특별시,0.46444788717346014,0.4739747493633919,0.0025108178855708105,0.0053377139092187975,0.0007701622237655145,0.0005075057428281425,0.0004229214523567854,0.05202824224940791,2022,11210,관악구,496743,248148,248595,20630,26485,115556,88770,63680,67816,61823,37321,15337,1548,29651,385034,82058,0.2326273344566506,0.1787040783664792,0.128195062638024,0.136521299746549,0.1244567110155553,0.1091228260891446,0.1651920610859136,0.7751171128732564,0.500449930849554,2022
8회지방선거_광역의원비례,서울특별시,광진구,20220601,8,305462,156989,155523,1466,66403,81566,376,386.0,108.0,88.0,53.0,6543.0,광진구,서울특별시,0.4269657864110132,0.5244626196768324,0.0024176488365064974,0.002481948007690181,0.0006944310487837812,0.0005658327064164142,0.00034078560727352224,0.04207094770548408,2022,11050,광진구,346519,165843,180676,18659,24446,66920,55951,49099,54297,45351,22711,10006,1231,27546,265456,53517,0.193120723538969,0.1614658936450815,0.1416920861482343,0.1566927066048326,0.1308759404246232,0.0979686539554829,0.1544417477829498,0.7660647756688667,0.5214028667980688,2022
8회지방선거_광역의원비례,서울특별시,구로구,20220601,8,353697,188070,186401,1669,81272,95028,409,328.0,149.0,123.0,83.0,9009.0,구로구,서울특별시,0.4360062446016921,0.5098041319520819,0.00219419423715538,0.0017596472121930676,0.0007993519348072167,0.0006598677045724004,0.0004452765811342214,0.048331285776363864,2022,11170,구로구,424038,210737,213301,28207,28325,53096,66323,64581,71487,65637,34182,13586,1532,39336,306010,78692,0.1252151929779878,0.1564081520995759,0.152300029714318,0.1685863059442786,0.1547903725609497,0.1162631650936944,0.1855777076582759,0.7216570213046944,0.5030233139482783,2022
8회지방선거_광역의원비례,서울특별시,금천구,20220601,8,212879,105819,104553,1266,48986,50846,266,218.0,94.0,71.0,40.0,4032.0,금천구,서울특별시,0.4685279236368158,0.4863179440092585,0.002544164203800943,0.0020850669038669383,0.0008990655457040927,0.0006790814228190488,0.0003825810832783373,0.0385641731944564,2022,11180,금천구,247185,125201,121984,12854,13496,36859,40692,33410,44229,39275,19178,7700,853,17881,184924,44380,0.1491150352974492,0.1646216396626008,0.135161923255861,0.1789307603616724,0.1588890911665351,0.1121872281894127,0.1795416388534903,0.7481198292776665,0.4934927281186156,2022
8회지방선거_광역의원비례,서울특별시,노원구,20220601,8,441748,245086,242734,2352,105274,121290,472,465.0,159.0,145.0,120.0,14809.0,노원구,서울특별시,0.43370108843425315,0.4996827803274366,0.0019445153954534594,0.0019156772434022428,0.0006550380251633476,0.0005973617210609145,0.0004943683208779981,0.06100917053235229,2022,11110,노원구,496423,238120,258303,32215,48168,69746,60586,76763,84127,70550,37836,18047,2428,49920,356706,89797,0.1404971163705146,0.1220451107221059,0.1546322390380784,0.1694663623562969,0.1421167028924929,0.1174623254764585,0.180888073276218,0.7185525247621484,0.5203284295852529,2022
8회지방선거_광역의원비례,서울특별시,도봉구,20220601,8,280913,148546,147202,1344,65079,76007,296,272.0,105.0,76.0,65.0,5302.0,도봉구,서울특별시,0.4421067648537384,0.5163448866183883,0.00201084224399125,0.0018478009809649325,0.0007133055257401394,0.0005162973329166723,0.00044157008736294345,0.03601853235689732,2022,11100,도봉구,304137,146600,157537,17448,22459,38668,37323,43106,53293,51021,27824,13388,1708,25883,212439,65815,0.1271400717439837,0.1227177226052732,0.1417321799057661,0.1752269536426018,0.167756635989702,0.1411206134077734,0.216399188523593,0.6984977164896083,0.5179803838401773,2022
8회지방선거_광역의원비례,서울특별시,동대문구,20220601,8,302024,156947,155048,1899,65611,81574,323,313.0,119.0,102.0,94.0,6912.0,동대문구,서울특별시,0.4231657293225324,0.5261209431917858,0.0020832258397399514,0.002018729683710851,0.000767504256746298,0.0006578607914968268,0.0006062638666735463,0.04457974304731438,2022,11060,동대문구,350709,169670,181039,20726,23756,70468,50138,47956,51054,47176,27396,12787,1352,28934,258825,62950,0.2009301158510331,0.1429618287526125,0.1367401463891716,0.1455736807438645,0.1345160802830837,0.1184315201491835,0.1794935402285085,0.7380050127028391,0.5162085945898166,2022
8회지방선거_광역의원비례,서울특별시,동작구,20220601,8,344280,187352,185880,1472,77202,98608,439,468.0,143.0,99.0,87.0,8834.0,동작구,서울특별시,0.4153324725629438,0.530492791047988,0.002361738756186787,0.0025177533892834086,0.0007693135356143749,0.0005326016785022595,0.00046804389928986444,0.047525285130191525,2022,11200,동작구,386605,186536,200069,23564,26679,70343,60154,54950,57734,51342,29804,12951,1529,33111,286129,67365,0.1819505697029267,0.1555955044554519,0.1421347370054707,0.1493358854644921,0.1328022141462216,0.1145458542957282,0.1742476170768614,0.7401068273819531,0.5175023602902187,2022
8회지방선거_광역의원비례,서울특별시,마포구,20220601,8,324528,174994,173671,1323,72249,88515,443,1600.0,94.0,88.0,54.0,10628.0,마포구,서울특별시,0.41601073293756585,0.5096705840353312,0.002550800076005781,0.009212821944941873,0.000541253289265335,0.000506705206971803,0.0003109327406417882,0.06119616976927639,2022,11140,마포구,362415,168773,193642,24117,26354,64667,62853,56727,53511,40589,22995,11692,1452,34115,274443,53857,0.1784335637321854,0.1734282521418815,0.1565249782707669,0.1476511733785853,0.1119959162838182,0.0997171750617386,0.1486058799994481,0.7572617027440918,0.534310114095719,2022
8회지방선거_광역의원비례,서울특별시,서대문구,20220601,8,271718,146945,145638,1307,63144,73613,364,969.0,88.0,105.0,63.0,7292.0,서대문구,서울특별시,0.4335681621554814,0.5054518738241393,0.0024993476977162553,0.006653483294195196,0.0006042379049423914,0.0007209656820335352,0.0004325794092201211,0.050069350032271795,2022,11130,서대문구,318308,146857,171451,20376,23840,62869,45056,44154,47691,39801,22998,12243,1407,28463,235716,54129,0.1975099589077246,0.1415484373625545,0.1387147039973861,0.1498265830579187,0.1250392701408698,0.115133769807859,0.1700522764115259,0.7405280420221924,0.538632393782123,2022
