election_name,sido,sigungu_norm,sg_id,sg_typecode,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_대한애국당,party_민중당,party_우리미래,party_녹색당,party_한국국민당,party_노동당,party_대한당,party_국민의힘,party_기타,sigungu_elec,sgg_name,ratio_더불어민주당,ratio_대한애국당,ratio_민중당,ratio_우리미래,ratio_녹색당,ratio_한국국민당,ratio_노동당,ratio_대한당,ratio_국민의힘,ratio_기타,year,adm_cd,sigungu_pop,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female,pop_year
7회지방선거_기초의원지역구,강원도,정선군,40361226,12,33293,23089,21905,1184,3021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2966.0,2659.0,정선군,정선군가선거구,0.34941013185287995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34304880869766363,0.3075410594494564,2017,32550,정선군,36002,18776,17226,2438,2637,2841,4042,5243,7041,5869,4271,1620,250,3410,23938,8654,0.0789122826509638,0.1122715404699739,0.1456307982889839,0.1955724681962113,0.1630187211821565,0.170573857007944,0.240375534692517,0.6649075051386034,0.4784734181434364,2017
7회지방선거_기초의원지역구,강원도,철원군,40361226,12,39354,26230,24683,1547,7742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5150.0,590.0,철원군,철원군가선거구,0.5742471443406023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3819908025515502,0.0437620531078475,2017,32560,철원군,44770,23792,20978,3999,4057,6445,5192,6128,7236,5452,4701,1676,252,5551,30374,8845,0.1439580075943712,0.1159705159705159,0.1368773732410096,0.1616260888988161,0.1217779763234308,0.1480679026133571,0.1975653339289703,0.6784453875362966,0.4685727049363413,2017
7회지방선거_기초의원지역구,강원도,춘천시,161444904,48,231430,144455,138401,6054,35086.0,0.0,621.0,0.0,0.0,0.0,0.0,0.0,30560.0,24129.0,춘천시,춘천시가선거구,0.3881366432143015,0.0,0.006869772998805257,0.0,0.0,0.0,0.0,0.0,0.33806805610867735,0.26692552767821587,2017,32010,춘천시,283742,139217,144525,25622,32168,41216,35807,44063,45575,29936,21220,9254,1389,35828,204680,43234,0.1452587209507228,0.126195628423004,0.1552924840171705,0.1606212686172649,0.1055042961563674,0.1122956770587364,0.1523708157410605,0.7213595449387119,0.509353567677679,2017
7회지방선거_기초의원지역구,강원도,태백시,40361226,12,38386,25318,24456,862,4633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3355.0,3232.0,태백시,태백시가선거구,0.41292335115864526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29901960784313725,0.2880570409982175,2017,32050,태백시,44733,22638,22095,3800,4199,3676,5086,7186,8026,6922,4607,1509,150,5260,30182,9291,0.0821764692732434,0.1136968233742427,0.1606420316097735,0.1794201149039858,0.1547403482887354,0.1400755594303981,0.207699014150627,0.6747144166499005,0.4939306552209778,2017
7회지방선거_기초의원지역구,강원도,평창군,40361226,12,37506,25480,24445,1035,6088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3564.0,1412.0,평창군,평창군가선거구,0.5502530730296457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32212581344902386,0.12762111352133043,2017,32540,평창군,40264,20670,19594,2639,3055,3338,3860,5890,8045,6660,4840,1919,304,3820,26639,9805,0.0829028412477647,0.0958672759785416,0.146284522153785,0.1998062785614941,0.1654083051857739,0.1754172461752434,0.2435177826346115,0.6616083846612358,0.4866381879594675,2017
7회지방선거_기초의원지역구,강원도,홍천군,60541839,18,60386,39954,37784,2170,5766.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,7248.0,5301.0,홍천군,홍천군가선거구,0.30007806401249026,0.0,0.0468384074941452,0.0,0.0,0.0,0.0,0.0,0.3772053083528493,0.2758782201405152,2017,32510,홍천군,67168,34331,32837,4970,5851,6660,6852,9041,12818,10290,7310,3413,473,7022,44892,15254,0.0991543592186755,0.1020128632682229,0.1346027870414483,0.1908349213911386,0.1531979514054311,0.1666865173892329,0.2271021915197713,0.6683539780848022,0.4888786326822296,2017
7회지방선거_기초의원지역구,강원도,화천군,40361226,12,21783,16230,15532,698,3195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3001.0,922.0,화천군,화천군가선거구,0.448862039898848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4216071930317505,0.1295307670694015,2017,32570,화천군,24625,13589,11036,2308,1877,4321,3020,2980,3828,2845,2514,985,142,3011,16881,4733,0.1754720812182741,0.1226395939086294,0.1210152284263959,0.1554517766497462,0.1155329949238578,0.1478578680203045,0.1922030456852791,0.685522842639594,0.4481624365482233,2017
7회지방선거_기초의원지역구,강원도,횡성군,40361226,12,40565,27938,26659,1279,4167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3769.0,1517.0,횡성군,횡성군가선거구,0.44081244049508095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39870940442187663,0.16047815508304242,2017,32520,횡성군,43211,21839,21372,2701,3679,3924,3779,5308,8482,7247,5431,2573,376,3840,27985,11386,0.0908102103631019,0.0874545833236907,0.1228390918978963,0.1962926106778366,0.1677119252042304,0.1939321006225266,0.2634977204878387,0.6476360186063734,0.4945962833537756,2017
7회지방선거_기초의원지역구,경기도,가평군,60541839,18,54583,35323,34215,1108,10176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8886.0,4676.0,가평군,가평군가선거구,0.4286797539809588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37433650686662734,0.19698373915241385,2017,31570,가평군,59548,30169,29379,4382,5234,5952,6206,8233,11153,9156,6359,2932,372,6114,40172,13262,0.0999529791092899,0.1042184456236985,0.138258211862699,0.1872942836031436,0.1537583126217505,0.162272452475314,0.2227110902129374,0.6746154362866931,0.4933666957748371,2017
7회지방선거_기초의원지역구,경기도,고양시덕양구,121083678,36,398866,231994,224566,7428,62890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48832.0,56679.0,고양시덕양구,고양시가선거구,0.37345383934774734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28997452509189375,0.3365716355603589,2017,31101,고양시 덕양구,433606,214769,218837,43270,42481,56597,62650,77023,74378,41930,26880,10915,1366,58513,319224,55869,0.1305263303552072,0.1444860080349441,0.1776336120810136,0.1715336042397937,0.0967006914110967,0.0903147096673016,0.1288473867981531,0.7362075248036236,0.5046908944986923,2017
7회지방선거_기초의원지역구,경기도,고양시일산동구,60541839,18,234054,132681,129279,3402,40018.0,295.0,793.0,0.0,0.0,0.0,0.0,0.0,29590.0,25729.0,고양시일산동구,고양시사선거구,0.4150168524760176,0.0030593725693544207,0.008224008296603578,0.0,0.0,0.0,0.0,0.0,0.30687062483795696,0.2668291418200674,2017,31103,고양시 일산동구,284692,138851,145841,25191,31241,39668,39308,54794,50589,24020,14275,7191,1009,36294,217137,31261,0.1393365461621682,0.1380720216936197,0.1924676492490129,0.1776973009427732,0.0843718825959282,0.0789449650850744,0.1098063872535933,0.7627084709089121,0.5122764250488246,2017
