election_name,sido,sigungu_norm,sg_id,sg_typecode,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_녹색당,party_통일한국당,party_미래당,party_시대전환,party_우리공화당,party_혁명21,party_독도당,party_신한반도평화체제당,party_기독당,party_노동당,party_깨어있는시민연대당,party_한류연합당,party_자유통일당,party_기타,sigungu_elec,sgg_name,ratio_더불어민주당,ratio_국민의힘,ratio_녹색당,ratio_통일한국당,ratio_미래당,ratio_시대전환,ratio_우리공화당,ratio_혁명21,ratio_독도당,ratio_신한반도평화체제당,ratio_기독당,ratio_노동당,ratio_깨어있는시민연대당,ratio_한류연합당,ratio_자유통일당,ratio_기타,year,adm_cd,sigungu_pop,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female,pop_year
8회지방선거_기초의원지역구,충청북도,보은군,60661803,18,28963,19543,18516,1027,3464.0,4135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2598.0,보은군,보은군가선거구,0.33970775718348534,0.40551142492890063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25478081788761403,2022,33520,보은군,30636,15439,15197,1391,1903,1971,2084,2987,5189,7277,4282,3221,488,2154,17123,11359,0.0643360752056404,0.0680245462854158,0.0974996735866301,0.1693758976367672,0.2375310092701397,0.2608369238804021,0.3707729468599033,0.5589176132654393,0.4960503982243113,2022
8회지방선거_기초의원지역구,충청북도,영동군,60661803,18,41123,27148,25929,1219,5268.0,6154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,영동군,영동군가선거구,0.4612151987392751,0.5387848012607249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,33540,영동군,43813,21860,21953,2093,2904,3553,2884,4607,7535,9656,6138,4130,566,3220,25288,15305,0.0810946522721566,0.0658252116951589,0.1051514390705954,0.1719809189053477,0.2203912080889233,0.2472782050989432,0.3493255426471595,0.5771802889553329,0.5010613288293428,2022
8회지방선거_기초의원지역구,충청북도,옥천군,60661803,18,44686,28846,26979,1867,4976.0,5298.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4043.0,옥천군,옥천군가선거구,0.34300682429172125,0.36520300544564693,0.0,0.0,0.0,0.0,0.013097125525608327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2786930447370235,2022,33530,옥천군,48013,24178,23835,2441,3442,3809,3558,5806,8311,10293,6176,3928,581,3887,28620,15506,0.0793326807323016,0.0741049299148147,0.1209255826546976,0.1730989523670672,0.214379438901964,0.2225438943619436,0.3229541999041926,0.5960885593485098,0.4964280507362589,2022
8회지방선거_기초의원지역구,충청북도,음성군,40441202,12,61399,31927,30027,1900,4477.0,10285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665.0,음성군,음성군가선거구,0.27253911243684176,0.6261033664089608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10135752115419736,2022,33570,음성군,102564,56916,45648,6062,7344,12386,13515,15026,18105,16953,8235,4996,713,8937,72485,21142,0.1207636207636207,0.1317713817713817,0.1465036465036465,0.1765239265239265,0.1652919152919152,0.1359541359541359,0.2061347061347061,0.7067294567294568,0.445068445068445,2022
8회지방선거_기초의원지역구,충청북도,제천시,101103005,30,115563,62799,58976,3823,11642.0,11884.0,0.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2378.0,제천시,제천시가선거구,0.4454221984160386,0.45468110341661244,0.0,0.008914565558403795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09098213260894518,2022,33030,제천시,130436,65535,64901,8532,10936,15132,12095,16919,22808,24247,12718,7209,860,12767,86081,31588,0.1160109172314391,0.0927274678769664,0.1297111226961881,0.1748597013094544,0.1858919316753043,0.1593655125885491,0.2421724063908736,0.6599481738170444,0.4975696893495661,2022
8회지방선거_기초의원지역구,충청북도,증평군,60661803,18,31366,17041,16424,617,4166.0,6769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.0,증평군,증평군가선거구,0.3598825155494126,0.5847442985487215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05537318590186593,2022,33590,증평군,37778,19556,18222,3214,3284,4832,4810,5627,6115,5577,2841,1645,198,4641,26005,7132,0.1279051299698237,0.1273227804542326,0.1489491238286833,0.1618666949017947,0.1476256022023399,0.1239875059558473,0.1887871247816189,0.6883635978611891,0.4823442215045794,2022
8회지방선거_기초의원지역구,충청북도,진천군,40441202,12,71725,34551,32421,2130,5552.0,4082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3382.0,진천군,진천군가선거구,0.4265519360786724,0.3136140135218193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2598340503995083,2022,33550,진천군,93174,50523,42651,8332,8496,10763,14031,15564,14771,12109,5702,3792,510,11852,66205,15117,0.1155150578487561,0.1505892201687166,0.1670423079399832,0.1585313499474102,0.1299611479597312,0.1073690085216906,0.1622448322493399,0.7105522999978535,0.4577564556635971,2022
8회지방선거_기초의원지역구,충청북도,청주시상당구,60661803,18,163058,79597,74933,4664,11912.0,21625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,청주시상당구,청주시가선거구,0.34671246034287045,0.6294204965509212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02386704310620834,2022,33041,청주시 상당구,191510,95219,96291,17374,19051,22370,23481,30179,33034,27240,12835,7067,937,25113,133990,32407,0.1168085217482115,0.1226097853897968,0.1575844603414965,0.172492298052321,0.1422380032374288,0.1088141611404104,0.1692183175813273,0.6996501488172941,0.5027988094616469,2022
8회지방선거_기초의원지역구,충청북도,청주시서원구,60661803,18,165453,80295,72645,7650,12943.0,11391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,0.0,0.0,0.0,277.0,청주시서원구,청주시라선거구,0.516789778398882,0.4548213216210821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01732880814533839,0.0,0.0,0.0,0.011060091834697545,2022,33042,청주시 서원구,194132,96581,97551,13741,19044,28812,22817,29005,33638,27883,13017,7001,961,21019,140326,32787,0.1484144808686872,0.1175334308614756,0.1494086497846825,0.1732738549028496,0.1436290771227824,0.1080656460552613,0.1688902396307667,0.7228380689427812,0.5024983001256876,2022
8회지방선거_기초의원지역구,충청북도,청주시청원구,60661803,18,129497,58274,55682,2592,19362.0,11186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,청주시청원구,청주시카선거구,0.6275971605458494,0.3625814398236686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009821399630481994,2022,33044,청주시 청원구,198744,102398,96346,19846,20437,28090,30760,32951,28017,23000,10733,6305,897,27937,143178,27629,0.1413376001288089,0.1547719679587811,0.1657962001368594,0.1409702934428209,0.1157267640784124,0.0902417179889707,0.1390180332488025,0.7204142011834319,0.4847743831260315,2022
8회지방선거_기초의원지역구,충청북도,청주시흥덕구,80882404,24,223618,98269,92304,5965,16209.0,21555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3699.0,청주시흥덕구,청주시사선거구,0.39092685044497505,0.5198610809637508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08921206859127415,2022,33043,청주시 흥덕구,274114,139308,134806,25586,26325,41022,43469,44237,43555,32043,13179,6543,911,36233,204301,33580,0.1496530640536419,0.1585800068584603,0.1613817608732133,0.1588937449382373,0.1168966196545962,0.0752716023260395,0.1225037758013089,0.7453139934479815,0.4917880881676966,2022
8회지방선거_기초의원지역구,충청북도,충주시,141544207,42,181044,89726,83757,5969,13628.0,17388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1838.0,충주시,충주시가선거구,0.41480489438120166,0.5292506239727278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05594448164607049,2022,33020,충주시,215783,110283,105500,14693,19118,28182,24156,30030,36183,34931,17684,11022,1478,21888,148599,45296,0.1306034302980309,0.1119457973983121,0.1391675896618362,0.167682347543597,0.1618802222603263,0.1398812696088199,0.2099145901206304,0.688650171700273,0.4889171065375863,2022
