election_name,sido,sigungu_norm,sg_id,sg_typecode,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_가락특권폐지당,party_대한국민당,party_민중민주당,party_한국국민당,party_녹색정의당,party_기후민생당,party_내일로미래로,party_자유통일당,party_새진보연합,party_우리공화당,party_자유민주당,party_소나무당,party_기독당,party_노동당,party_한국농어민당,party_기타,sigungu_elec,sgg_name,ratio_더불어민주당,ratio_국민의힘,ratio_가락특권폐지당,ratio_대한국민당,ratio_민중민주당,ratio_한국국민당,ratio_녹색정의당,ratio_기후민생당,ratio_내일로미래로,ratio_자유통일당,ratio_새진보연합,ratio_우리공화당,ratio_자유민주당,ratio_소나무당,ratio_기독당,ratio_노동당,ratio_한국농어민당,ratio_기타,year,adm_cd,sigungu_pop,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female,pop_year
22대국회의원선거_지역구,충청남도,서산시,20240410,2,149039,99019,97871,1148,49351.0,48520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,서산시,서산시태안군,0.5042453842302623,0.4957546157697377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,34050,서산시,178586,94138,84448,13482,16484,17621,21898,27402,30602,26817,15152,9012,1727,20479,120161,37946,0.0986695485648371,0.1226187943063846,0.1534386794037606,0.1713572172510723,0.150162946703549,0.1449777698139832,0.2124802616106525,0.6728466957096301,0.4728702137905547,2024
22대국회의원선거_지역구,충청남도,서천군,20240410,2,44749,32384,31855,529,17205.0,14309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,서천군,보령시서천군,0.5429842832796818,0.45158745187148897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005428264848829136,2024,34540,서천군,48575,24768,23807,1810,2729,3344,3834,4783,7496,10465,7922,5365,1055,2926,25952,19697,0.0688419969119917,0.0789294904786412,0.0984662892434379,0.1543180648481729,0.2154400411734431,0.2952547606793618,0.4054966546577457,0.5342665980442615,0.4901080802882141,2024
22대국회의원선거_지역구,충청남도,아산시,40480820,4,286170,178053,176008,2045,101085.0,73271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1652.0,아산시,아산시갑,0.5743204854324804,0.4162935775646561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009385937002863507,2024,34040,아산시,392509,207898,184611,36098,42657,51292,61829,69429,58154,42744,21084,11367,1869,53482,285979,53048,0.1306772583558593,0.1575225026687286,0.1768851160100787,0.1481596600332731,0.1088994137714039,0.0874374855098863,0.1351510411226239,0.7285922106244698,0.470335712047367,2024
22대국회의원선거_지역구,충청남도,예산군,20240410,2,70293,48098,47450,648,18854.0,28596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,예산군,홍성군예산군,0.3973445732349842,0.6026554267650158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,34570,예산군,79848,40957,38891,3796,5321,6492,7923,9077,12906,16103,10590,6830,1225,5891,47477,26480,0.0813044785091674,0.0992260294559663,0.1136784891293457,0.1616321009918845,0.2016706742811341,0.2335061617072437,0.3316300971846508,0.5945922252279331,0.4870629195471395,2024
22대국회의원선거_지역구,충청남도,천안시동남구,40480820,4,370694,226590,223977,2613,117751.0,100276,0.0,0.0,0.0,0.0,1364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4586.0,천안시동남구,천안시갑,0.5257280881519084,0.4477066841684637,0.0,0.0,0.0,0.0,0.006089911017649134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020475316661978684,2024,34011,천안시 동남구,279621,142112,137509,18151,27751,41329,35796,42144,47054,39793,18582,9621,1642,28243,204248,47130,0.1478036342048701,0.1280161361271149,0.150718293690388,0.1682777759896431,0.1423104845487284,0.1067337574788731,0.1685495724570043,0.7304458534945516,0.4917692161890559,2024
22대국회의원선거_지역구,충청남도,천안시서북구,20240410,2,182191,108070,106774,1296,58862.0,44628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3284.0,천안시서북구,천안시을,0.5512765279937063,0.41796692078595915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03075655122033454,2024,34012,천안시 서북구,415144,215822,199322,35964,42865,60807,69212,72206,66026,44471,17734,8634,1388,53545,315657,45942,0.1464720675235581,0.166718054458212,0.1739300098279151,0.1590436089646002,0.1071218661476499,0.0668587285375676,0.1106652149615555,0.7603554429306457,0.4801273774882932,2024
22대국회의원선거_지역구,충청남도,청양군,20240410,2,27636,20237,19867,370,9487.0,10207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,청양군,공주시부여군청양군,0.47752554487340815,0.5137665475411486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008707907585443196,2024,34550,청양군,29818,15322,14496,984,1812,2658,2227,2716,4558,6775,4423,3204,588,1642,16625,11551,0.0891407874438258,0.0746864310148232,0.0910859212556174,0.1528606881749279,0.2272117512911664,0.27550472868737,0.3873834596552418,0.5575491313971427,0.4861493057884499,2024
22대국회의원선거_지역구,충청남도,태안군,20240410,2,55059,39341,38838,503,16871.0,21967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,태안군,서산시태안군,0.43439415005922033,0.5656058499407797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,34580,태안군,60814,31964,28850,2404,3918,5085,5144,6828,9895,12936,8979,5040,896,3840,35662,21312,0.0836156148255335,0.0845857861676587,0.1122767783734008,0.1627092445818397,0.2127141776564607,0.2452560265728286,0.3504456210740947,0.5864110237774197,0.4743973427171375,2024
22대국회의원선거_지역구,충청남도,홍성군,20240410,2,84270,57265,56565,700,28118.0,28447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,홍성군,홍성군예산군,0.4970918412445859,0.5029081587554142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,34560,홍성군,102178,51671,50507,6899,9557,10576,11150,13699,16026,16688,10407,6784,1202,10667,65250,26261,0.1035056470081622,0.1091232946426823,0.1340699563506821,0.1568439390083971,0.1633228287889761,0.1800093953688661,0.2570122727005813,0.638591477617491,0.494304057624929,2024
22대국회의원선거_지역구,충청북도,괴산군,20240410,2,33819,24853,24395,458,10830.0,13565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,괴산군,보은군옥천군영동군괴산군,0.44394343103094897,0.5560565689690511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,33560,괴산군,37346,19734,17612,1189,1817,3506,2602,3303,6227,9382,5571,3372,538,1828,21328,14190,0.0938788625287848,0.0696727895892465,0.0884432067691319,0.166738071011621,0.2512183366357843,0.253869222942216,0.3799603705885503,0.571091950945215,0.4715899962512719,2024
