election_name,sido,sigungu_norm,sg_id,sg_typecode,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_기본소득당,party_통일한국당,party_녹색당,party_기타,sigungu_elec,sgg_name,ratio_더불어민주당,ratio_국민의힘,ratio_기본소득당,ratio_통일한국당,ratio_녹색당,ratio_기타,year,adm_cd,sigungu_pop,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female,pop_year
8회지방선거_시도지사,강원도,강릉시,20220601,3,185804,101944,100338,1606,42113,58225,0.0,0.0,0.0,0.0,강릉시,강원도,0.41971137555063887,0.5802886244493611,0.0,0.0,0.0,0.0,2022,32030,강릉시,215128,107563,107565,13793,18792,28759,21081,30545,35509,35562,20066,10951,1719,20578,145962,48588,0.1336832025584768,0.0979928228775426,0.1419852366962924,0.165059871332416,0.1653062362872336,0.1521698709605444,0.2258562344278755,0.6784890855676621,0.500004648395374,2022
8회지방선거_시도지사,강원도,고성군,20220601,3,24776,16776,16188,588,7164,9024,0.0,0.0,0.0,0.0,고성군,강원도,0.4425500370644922,0.5574499629355077,0.0,0.0,0.0,0.0,2022,32600,고성군,27127,14275,12852,1446,1501,3307,2531,3008,4407,5512,3279,2005,287,2037,17001,8089,0.1219080620783721,0.0933018763593467,0.1108858333026136,0.1624580676079183,0.203192391344417,0.2053673461864563,0.2981899952077266,0.6267187672798319,0.4737715191506617,2022
8회지방선거_시도지사,강원도,동해시,20220601,3,76886,42047,41230,817,17499,23731,0.0,0.0,0.0,0.0,동해시,강원도,0.42442396313364056,0.5755760368663595,0.0,0.0,0.0,0.0,2022,32040,동해시,86772,44153,42619,6735,7707,7787,8540,13808,15278,14790,8147,4273,576,10020,57089,19663,0.0897409302539989,0.0984188447886414,0.1591296731664592,0.176070621859586,0.1704466878716636,0.149771815793113,0.2266053565666343,0.6579196054026645,0.4911607430968515,2022
8회지방선거_시도지사,강원도,삼척시,20220601,3,57023,37549,36626,923,15807,20819,0.0,0.0,0.0,0.0,삼척시,강원도,0.4315786599683285,0.5684213400316714,0.0,0.0,0.0,0.0,2022,32070,삼척시,64289,33295,30994,3826,5312,8386,5264,8147,10412,11696,6948,4101,643,5597,41776,16916,0.1304422218419947,0.0818802594534057,0.1267246340742584,0.1619561666848138,0.1819284792110625,0.1818662601689247,0.2631243292009519,0.6498156760876667,0.482104248005102,2022
8회지방선거_시도지사,강원도,속초시,20220601,3,71621,37094,36390,704,16266,20124,0.0,0.0,0.0,0.0,속초시,강원도,0.4469909315746084,0.5530090684253915,0.0,0.0,0.0,0.0,2022,32060,속초시,80903,40449,40454,6113,6392,7848,9279,11948,14870,14044,6944,3587,593,8850,54736,17317,0.0970050554367576,0.1146929038478177,0.1476830278234429,0.1838003535097586,0.173590596146002,0.1374979914218261,0.2140464506878607,0.6765632918433185,0.5000309012026748,2022
8회지방선거_시도지사,강원도,양구군,20220601,3,18552,12804,12448,356,5658,6790,0.0,0.0,0.0,0.0,양구군,강원도,0.45453084832904883,0.5454691516709511,0.0,0.0,0.0,0.0,2022,32580,양구군,20824,10970,9854,1721,1800,2345,2572,2448,3172,3662,1855,1270,160,2360,13606,4858,0.1126104494813676,0.1235113330772186,0.1175566653860929,0.1523242412600845,0.1758547829427583,0.1577506723011909,0.2332885132539377,0.6533807145601229,0.4732039953899347,2022
8회지방선거_시도지사,강원도,양양군,20220601,3,25359,16671,16194,477,6749,9445,0.0,0.0,0.0,0.0,양양군,강원도,0.4167592935655181,0.5832407064344819,0.0,0.0,0.0,0.0,2022,32610,양양군,26566,13501,13065,1312,1528,1944,2167,3285,4668,5833,3618,2058,305,1953,15934,8679,0.0731762403071595,0.0815704283670857,0.1236542949634871,0.1757133177745991,0.219566363020402,0.2251373936610705,0.3266957765565008,0.5997892042460288,0.4917940224346909,2022
8회지방선거_시도지사,강원도,영월군,20220601,3,34371,22806,22311,495,10182,12129,0.0,0.0,0.0,0.0,영월군,강원도,0.4563668145757698,0.5436331854242302,0.0,0.0,0.0,0.0,2022,32530,영월군,35654,18364,17290,1694,2410,2504,2501,4073,6543,8217,4717,2858,348,2571,21460,11623,0.0702305491669938,0.0701464071352443,0.1142368317720311,0.183513771245863,0.230465024962136,0.2222191058506759,0.325994278341841,0.6018960004487575,0.4849385763168228,2022
8회지방선거_시도지사,강원도,원주시,20220601,3,304060,157538,155139,2399,77841,77298,0.0,0.0,0.0,0.0,원주시,강원도,0.501750043509369,0.498249956490631,0.0,0.0,0.0,0.0,2022,32020,원주시,361810,180022,181788,29855,35354,47204,45656,56032,60870,51331,23104,13832,2076,43676,258000,60134,0.1304662668251292,0.1261877781155855,0.1548658135485476,0.1682374727066692,0.1418728061689837,0.1078245487963295,0.1662032558525192,0.7130814515906139,0.5024405074486609,2022
8회지방선거_시도지사,강원도,인제군,20220601,3,27939,18540,17833,707,8612,9221,0.0,0.0,0.0,0.0,인제군,강원도,0.4829249144843829,0.5170750855156171,0.0,0.0,0.0,0.0,2022,32590,인제군,30905,16830,14075,2641,2022,3611,4085,3909,4795,5639,2644,1584,242,3514,20459,6932,0.1168419349619802,0.1321792590195761,0.1264843876395405,0.1551528878822197,0.1824623847273904,0.1446367901634039,0.2243002750364018,0.6619964407053874,0.4554279242840964,2022
8회지방선거_시도지사,강원도,정선군,20220601,3,32001,22082,21337,745,10570,10767,0.0,0.0,0.0,0.0,정선군,강원도,0.49538360594272857,0.5046163940572714,0.0,0.0,0.0,0.0,2022,32550,정선군,33354,17386,15968,1690,2164,2036,2564,4324,6268,7627,4261,2357,288,2635,20396,10323,0.0610421538646039,0.0768723391497271,0.1296396234334712,0.1879234874377885,0.2286682257000659,0.2070516279906458,0.3094981111710739,0.6115008694609342,0.4787431792288781,2022
8회지방선거_시도지사,강원도,철원군,20220601,3,37099,22454,21604,850,9311,12293,0.0,0.0,0.0,0.0,철원군,강원도,0.4309850027772635,0.5690149972227365,0.0,0.0,0.0,0.0,2022,32560,철원군,41145,21372,19773,3285,3161,4559,4690,5139,6485,7110,4263,2434,323,4588,26348,10209,0.1108032567748207,0.1139871187264552,0.124899744804958,0.1576133187507595,0.1728034998177178,0.1706161137440758,0.2481224936201239,0.6403694252035484,0.4805687203791469,2022
8회지방선거_시도지사,강원도,춘천시,20220601,3,244406,137765,135840,1925,63714,72126,0.0,0.0,0.0,0.0,춘천시,강원도,0.4690371024734982,0.5309628975265017,0.0,0.0,0.0,0.0,2022,32010,춘천시,293124,144265,148859,22681,28368,43522,35008,41053,46234,42287,21174,13380,2030,32978,204990,55156,0.1484764127127086,0.1194306846249368,0.1400533562587846,0.1577284698625837,0.1442631787229977,0.1248072488093776,0.188166100353434,0.6993286117820444,0.5078362740683123,2022
8회지방선거_시도지사,강원도,태백시,20220601,3,35236,22538,22010,528,10288,11722,0.0,0.0,0.0,0.0,태백시,강원도,0.46742389822807817,0.5325761017719218,0.0,0.0,0.0,0.0,2022,32050,태백시,39113,19680,19433,2388,3289,2867,3058,5866,6969,7759,4819,2251,205,3774,24426,10913,0.0733004371947945,0.0781837240815074,0.1499757114003017,0.1781760539973921,0.1983739421675657,0.1859995397949531,0.279012093165955,0.6244982486641271,0.4968424820392197,2022
8회지방선거_시도지사,강원도,평창군,20220601,3,37372,25363,24968,395,12618,12350,0.0,0.0,0.0,0.0,평창군,강원도,0.5053668695930792,0.49463313040692086,0.0,0.0,0.0,0.0,2022,32540,평창군,38699,19891,18808,1805,2347,2628,2806,4631,7306,9288,4981,2781,360,2777,23663,12259,0.0679087314917698,0.0725083335486705,0.1196671748623995,0.1887904080208791,0.2400062017106385,0.2098762241918395,0.31677821132329,0.6114628284968604,0.4860073903718442,2022
