election_name,sido,sigungu_norm,sg_id,sg_typecode,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_녹색당,party_한국국민당,party_대한애국당,party_민중당,party_한반도미래연합,party_국민의힘,party_기타,sigungu_elec,sgg_name,ratio_더불어민주당,ratio_녹색당,ratio_한국국민당,ratio_대한애국당,ratio_민중당,ratio_한반도미래연합,ratio_국민의힘,ratio_기타,year,adm_cd,sigungu_pop,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female,pop_year
7회지방선거_기초단체장,강원도,정선군,20180613,4,33293,23089,22426,663,12942.0,0.0,0.0,468.0,0.0,0.0,9016.0,0.0,정선군,정선군,0.5770980112369571,0.0,0.0,0.020868634620529743,0.0,0.0,0.4020333541425132,0.0,2017,32550,정선군,36002,18776,17226,2438,2637,2841,4042,5243,7041,5869,4271,1620,250,3410,23938,8654,0.0789122826509638,0.1122715404699739,0.1456307982889839,0.1955724681962113,0.1630187211821565,0.170573857007944,0.240375534692517,0.6649075051386034,0.4784734181434364,2017
7회지방선거_기초단체장,강원도,철원군,20180613,4,39354,26231,25427,804,7952.0,0.0,0.0,0.0,0.0,0.0,11505.0,5970.0,철원군,철원군,0.31273842765564164,0.0,0.0,0.0,0.0,0.0,0.45247178196405397,0.2347897903803044,2017,32560,철원군,44770,23792,20978,3999,4057,6445,5192,6128,7236,5452,4701,1676,252,5551,30374,8845,0.1439580075943712,0.1159705159705159,0.1368773732410096,0.1616260888988161,0.1217779763234308,0.1480679026133571,0.1975653339289703,0.6784453875362966,0.4685727049363413,2017
7회지방선거_기초단체장,강원도,춘천시,20180613,4,231430,144508,141556,2952,70916.0,0.0,0.0,0.0,0.0,0.0,54696.0,15944.0,춘천시,춘천시,0.5009748791997514,0.0,0.0,0.0,0.0,0.0,0.3863912515188335,0.11263386928141512,2017,32010,춘천시,283742,139217,144525,25622,32168,41216,35807,44063,45575,29936,21220,9254,1389,35828,204680,43234,0.1452587209507228,0.126195628423004,0.1552924840171705,0.1606212686172649,0.1055042961563674,0.1122956770587364,0.1523708157410605,0.7213595449387119,0.509353567677679,2017
7회지방선거_기초단체장,강원도,태백시,20180613,4,38386,25318,24726,592,8934.0,0.0,0.0,0.0,0.0,0.0,5820.0,3997.0,태백시,태백시,0.47645458908858196,0.0,0.0,0.0,0.0,0.0,0.3103834462162018,0.21316196469521626,2017,32050,태백시,44733,22638,22095,3800,4199,3676,5086,7186,8026,6922,4607,1509,150,5260,30182,9291,0.0821764692732434,0.1136968233742427,0.1606420316097735,0.1794201149039858,0.1547403482887354,0.1400755594303981,0.207699014150627,0.6747144166499005,0.4939306552209778,2017
7회지방선거_기초단체장,강원도,평창군,20180613,4,37506,25480,24954,526,12489.0,0.0,0.0,0.0,0.0,0.0,12465.0,0.0,평창군,평창군,0.5004808848280837,0.0,0.0,0.0,0.0,0.0,0.49951911517191633,0.0,2017,32540,평창군,40264,20670,19594,2639,3055,3338,3860,5890,8045,6660,4840,1919,304,3820,26639,9805,0.0829028412477647,0.0958672759785416,0.146284522153785,0.1998062785614941,0.1654083051857739,0.1754172461752434,0.2435177826346115,0.6616083846612358,0.4866381879594675,2017
7회지방선거_기초단체장,강원도,홍천군,20180613,4,60386,39969,39125,844,22575.0,0.0,0.0,0.0,0.0,0.0,16550.0,0.0,홍천군,홍천군,0.576996805111821,0.0,0.0,0.0,0.0,0.0,0.4230031948881789,0.0,2017,32510,홍천군,67168,34331,32837,4970,5851,6660,6852,9041,12818,10290,7310,3413,473,7022,44892,15254,0.0991543592186755,0.1020128632682229,0.1346027870414483,0.1908349213911386,0.1531979514054311,0.1666865173892329,0.2271021915197713,0.6683539780848022,0.4888786326822296,2017
7회지방선거_기초단체장,강원도,화천군,20180613,4,21783,16230,15829,401,7097.0,0.0,0.0,0.0,0.0,0.0,7788.0,944.0,화천군,화천군,0.44835428643628783,0.0,0.0,0.0,0.0,0.0,0.49200833912439196,0.05963737443932023,2017,32570,화천군,24625,13589,11036,2308,1877,4321,3020,2980,3828,2845,2514,985,142,3011,16881,4733,0.1754720812182741,0.1226395939086294,0.1210152284263959,0.1554517766497462,0.1155329949238578,0.1478578680203045,0.1922030456852791,0.685522842639594,0.4481624365482233,2017
7회지방선거_기초단체장,강원도,횡성군,20180613,4,40565,27946,27352,594,11196.0,0.0,0.0,0.0,0.0,0.0,3292.0,12864.0,횡성군,횡성군,0.40933021351272303,0.0,0.0,0.0,0.0,0.0,0.12035682948230476,0.4703129570049722,2017,32520,횡성군,43211,21839,21372,2701,3679,3924,3779,5308,8482,7247,5431,2573,376,3840,27985,11386,0.0908102103631019,0.0874545833236907,0.1228390918978963,0.1962926106778366,0.1677119252042304,0.1939321006225266,0.2634977204878387,0.6476360186063734,0.4945962833537756,2017
7회지방선거_기초단체장,경기도,가평군,20180613,4,54583,35327,34470,857,14002.0,0.0,0.0,0.0,0.0,0.0,15531.0,1125.0,가평군,가평군,0.4567160284428208,0.0,0.0,0.0,0.0,0.0,0.5065888185791637,0.036695152978015524,2017,31570,가평군,59548,30169,29379,4382,5234,5952,6206,8233,11153,9156,6359,2932,372,6114,40172,13262,0.0999529791092899,0.1042184456236985,0.138258211862699,0.1872942836031436,0.1537583126217505,0.162272452475314,0.2227110902129374,0.6746154362866931,0.4933666957748371,2017
7회지방선거_기초단체장,경기도,고양시덕양구,20180613,4,398866,232143,228641,3502,132702.0,0.0,0.0,0.0,0.0,0.0,60696.0,35243.0,고양시덕양구,고양시,0.5803945923959395,0.0,0.0,0.0,0.0,0.0,0.26546419933432763,0.1541412082697329,2017,31101,고양시 덕양구,433606,214769,218837,43270,42481,56597,62650,77023,74378,41930,26880,10915,1366,58513,319224,55869,0.1305263303552072,0.1444860080349441,0.1776336120810136,0.1715336042397937,0.0967006914110967,0.0903147096673016,0.1288473867981531,0.7362075248036236,0.5046908944986923,2017
7회지방선거_기초단체장,경기도,고양시일산동구,20180613,4,234054,132766,130951,1815,75186.0,0.0,0.0,0.0,0.0,0.0,36905.0,18860.0,고양시일산동구,고양시,0.5741536910752877,0.0,0.0,0.0,0.0,0.0,0.2818229719513406,0.14402333697337172,2017,31103,고양시 일산동구,284692,138851,145841,25191,31241,39668,39308,54794,50589,24020,14275,7191,1009,36294,217137,31261,0.1393365461621682,0.1380720216936197,0.1924676492490129,0.1776973009427732,0.0843718825959282,0.0789449650850744,0.1098063872535933,0.7627084709089121,0.5122764250488246,2017
7회지방선거_기초단체장,경기도,고양시일산서구,20180613,4,222085,132845,131264,1581,79159.0,0.0,0.0,0.0,0.0,0.0,36310.0,15795.0,고양시일산서구,고양시,0.6030518649439298,0.0,0.0,0.0,0.0,0.0,0.2766181131155534,0.12033002194051683,2017,31104,고양시 일산서구,286804,139184,147620,28765,35715,36676,36160,56775,50007,22851,14894,7253,825,41808,213452,31544,0.1278782722695639,0.126079134182229,0.1979574901326341,0.1743594928941019,0.079674620995523,0.0800965119035996,0.1099845190443647,0.7442434554608722,0.514706907853447,2017
7회지방선거_기초단체장,경기도,과천시,20180613,4,46715,32775,32500,275,16366.0,0.0,0.0,0.0,0.0,0.0,11726.0,4408.0,과천시,과천시,0.5035692307692308,0.0,0.0,0.0,0.0,0.0,0.3608,0.13563076923076922,2017,31110,과천시,53583,26267,27316,4806,6450,6959,6379,9518,9621,5476,3167,1540,210,7157,39384,7042,0.1298732807047011,0.1190489520930145,0.1776309650448836,0.1795532165052348,0.1021965922027508,0.0917641789373495,0.1314222794543045,0.7350092380045911,0.5097885523393614,2017
7회지방선거_기초단체장,경기도,광명시,20180613,4,270792,166882,164459,2423,110907.0,0.0,0.0,0.0,0.0,0.0,36672.0,16880.0,광명시,광명시,0.6743747681793031,0.0,0.0,0.0,0.0,0.0,0.22298566816045337,0.10263956366024359,2017,31060,광명시,328253,162480,165773,34078,34919,40448,51185,59359,53460,34096,16954,6454,711,46975,243806,37472,0.1232220269121683,0.1559315527961663,0.1808330769254203,0.1628621825238459,0.1038710994263571,0.0734768608360015,0.1141558492991686,0.7427380709391841,0.5050159480644503,2017
7회지방선거_기초단체장,경기도,광주시,20180613,4,287993,156159,154102,2057,94217.0,0.0,0.0,0.0,0.0,0.0,48637.0,11248.0,광주시,광주시,0.6113937521901078,0.0,0.0,0.0,0.0,0.0,0.31561563120530556,0.07299061660458657,2017,31250,광주시,341046,176877,164169,37633,32101,42104,60224,59094,54170,34804,17171,6052,883,49263,253928,37855,0.1234554869431103,0.1765861496689596,0.1732728136380429,0.1588348785794291,0.1020507497522328,0.0706825472223688,0.1109967570357078,0.7445564527952241,0.4813690821765978,2017
7회지방선거_기초단체장,경기도,구리시,20180613,4,165295,97704,96457,1247,57895.0,0.0,0.0,0.0,0.0,0.0,38562.0,0.0,구리시,구리시,0.6002156401297988,0.0,0.0,0.0,0.0,0.0,0.3997843598702012,0.0,2017,31120,구리시,189745,93904,95841,18441,19947,25370,27546,34099,33424,18441,10197,3570,454,25579,142714,21452,0.1337057629977074,0.1451737858705104,0.1797096102664102,0.1761522042741574,0.0971883317083454,0.0749479564678911,0.1130569975493425,0.7521357611531265,0.5051042188199952,2017
7회지방선거_기초단체장,경기도,군포시,20180613,4,228999,144556,142821,1735,80139.0,0.0,0.0,0.0,0.0,0.0,35427.0,27255.0,군포시,군포시,0.5611149620854076,0.0,0.0,0.0,0.0,0.0,0.2480517570945449,0.19083328082004747,2017,31160,군포시,280913,139468,141445,29105,29190,37303,44118,49353,48074,25736,13498,6347,866,39663,210847,30403,0.1327920032180782,0.1570521834162178,0.1756878464150822,0.171134835340479,0.0916155535699665,0.0737274529836639,0.1082292382339016,0.7505775809592293,0.5035188830705593,2017
7회지방선거_기초단체장,경기도,김포시,20180613,4,316246,180067,177561,2506,116910.0,0.0,0.0,0.0,0.0,0.0,54437.0,6214.0,김포시,김포시,0.6584216128541741,0.0,0.0,0.0,0.0,0.0,0.30658196338159843,0.034996423764227506,2017,31230,김포시,392436,202237,190199,51876,39270,43913,70583,70892,56089,35737,19923,7529,1014,67416,281794,43226,0.1118985006472393,0.1798586266295651,0.1806460161656932,0.1429252158313712,0.0910645302673557,0.0725366683994332,0.1101478967271096,0.7180635823420889,0.4846624672558073,2017
