sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_진보당,party_정의당,party_통일한국당,party_우리공화당,party_한국복지당,party_충청의미래당
20220601,9,8회지방선거_기초의원비례,인천광역시,미추홀구,미추홀구,358612,160302,155792,4510,69953,85839.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,인천광역시,연수구,연수구,317883,164247,161229,3018,70605,90624.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,인천광역시,남동구,남동구,441226,212011,207639,4372,99843,107796.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,인천광역시,부평구,부평구,426463,202579,198052,4527,98268,99784.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,인천광역시,계양구,계양구,258156,144682,142144,2538,75225,66919.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,인천광역시,서구,서구,472254,218336,213775,4561,105910,107865.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,인천광역시,강화군,강화군,63147,39085,37608,1477,13063,24545.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,인천광역시,옹진군,옹진군,18895,12694,12145,549,4227,7918.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,광주광역시,서구,서구,246841,97914,93264,4650,66899,0.0,10234.0,16131.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,광주광역시,남구,남구,180158,71495,68654,2841,55246,0.0,13408.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,광주광역시,북구,북구,363222,137849,133816,4033,93657,18510.0,9841.0,11808.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,광주광역시,광산구,광산구,326410,108819,104562,4257,74879,0.0,13394.0,16289.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,대전광역시,동구,동구,191882,94037,91841,2196,40836,51005.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,대전광역시,중구,중구,199894,100323,97800,2523,42286,55514.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,대전광역시,서구,서구,399035,192502,189129,3373,86519,102610.0,0.0,0.0,0.0,0.0,0.0,0.0
