sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_정의당,party_기본소득당,party_무소속,party_진보당,party_통일한국당,party_녹색당
20220601,3,8회지방선거_시도지사,부산광역시,사상구,부산광역시,184625,87671,86367,1304,28406,56696,1265.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,대구광역시,중구,대구광역시,68825,29536,29115,421,5610,22491,746.0,268.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,대구광역시,동구,대구광역시,297073,131007,128949,2058,24745,100305,2851.0,1048.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,대구광역시,서구,대구광역시,148238,66442,65159,1283,8993,54059,1484.0,623.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,대구광역시,남구,대구광역시,129053,54686,53785,901,8593,43386,1252.0,554.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,대구광역시,북구,대구광역시,373423,160433,158138,2295,28966,123952,3864.0,1356.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,대구광역시,수성구,대구광역시,349048,157513,154991,2522,29601,120189,3896.0,1305.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,대구광역시,달서구,대구광역시,464339,192191,189850,2341,34133,149512,4674.0,1531.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,대구광역시,달성군,대구광역시,214580,91333,90047,1286,15788,71265,2137.0,857.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,인천광역시,중구,인천광역시,124974,57362,56525,837,24425,30190,1616.0,294.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,인천광역시,동구,인천광역시,52728,28942,28405,537,11592,15595,1011.0,207.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,인천광역시,미추홀구,인천광역시,358612,160328,158267,2061,66673,86217,4487.0,890.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,인천광역시,연수구,인천광역시,317883,164269,162942,1327,63175,90120,9133.0,514.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,인천광역시,남동구,인천광역시,441226,212064,209678,2386,96632,106526,5647.0,873.0,0.0,0.0,0.0,0.0
