sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_정의당,party_녹색당,party_무소속,party_통일한국당,party_미래당,party_진보당,party_시대전환,party_우리공화당,party_혁명21,party_독도당,party_신한반도평화체제당,party_기독당,party_노동당,party_깨어있는시민연대당,party_한류연합당,party_자유통일당
20220601,6,8회지방선거_기초의원지역구,서울특별시,동대문구,동대문구나선거구,40073,21175,20577,598,3455.0,10544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,6,8회지방선거_기초의원지역구,서울특별시,동대문구,동대문구라선거구,34254,18496,18134,362,7674.0,9290.0,0.0,0.0,0.0,0.0,0.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,6,8회지방선거_기초의원지역구,서울특별시,동대문구,동대문구마선거구,66862,35548,33623,1925,4684.0,3455.0,0.0,0.0,1203.0,0.0,0.0,1520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,6,8회지방선거_기초의원지역구,서울특별시,동대문구,동대문구바선거구,86401,44559,42016,2543,4238.0,2757.0,1075.0,0.0,816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,6,8회지방선거_기초의원지역구,서울특별시,중랑구,중랑구다선거구,84551,39442,37014,2428,6622.0,6985.0,1754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,6,8회지방선거_기초의원지역구,서울특별시,중랑구,중랑구마선거구,40533,20127,19158,969,9462.0,2874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,6,8회지방선거_기초의원지역구,서울특별시,중랑구,중랑구바선거구,38667,22053,20917,1136,9882.0,4157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,6,8회지방선거_기초의원지역구,서울특별시,성북구,성북구가선거구,98171,50677,47805,2872,5485.0,2548.0,2618.0,0.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,6,8회지방선거_기초의원지역구,서울특별시,성북구,성북구나선거구,99193,54386,50930,3456,4031.0,2205.0,0.0,0.0,3004.0,0.0,0.0,1107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,6,8회지방선거_기초의원지역구,서울특별시,성북구,성북구라선거구,57333,31405,28864,2541,5517.0,3061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,6,8회지방선거_기초의원지역구,서울특별시,강북구,강북구가선거구,72336,34855,32419,2436,6548.0,3092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
