sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_무소속,party_진보당,party_민생당,party_노동당,party_한국당,party_정의당,party_남북통일당,party_우리공화당,party_녹색당
20220601,5,8회지방선거_광역의원지역구,서울특별시,강북구,강북구제2선거구,64268,31196,30597,599,15393.0,15204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,강북구,강북구제3선거구,70303,36086,35157,929,19062.0,16095.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,강북구,강북구제4선거구,61223,31226,30589,637,15898.0,14294.0,0.0,0.0,0.0,397.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,도봉구,도봉구제1선거구,66144,37661,36901,760,18142.0,18759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,도봉구,도봉구제2선거구,72524,35874,34902,972,16579.0,18323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,도봉구,도봉구제3선거구,55778,30248,29807,441,14335.0,15472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,도봉구,도봉구제4선거구,86467,44759,43581,1178,20327.0,23254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,노원구,노원구제1선거구,68551,38067,37220,847,18532.0,18688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,노원구,노원구제2선거구,68421,37721,37048,673,17547.0,18101.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,노원구,노원구제3선거구,80401,45312,44294,1018,22243.0,22051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,노원구,노원구제4선거구,76206,42813,41781,1032,20937.0,20844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,노원구,노원구제5선거구,62269,32923,32087,836,15612.0,16475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,노원구,노원구제6선거구,85900,48243,47036,1207,23695.0,23341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
