sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_미래통합당,party_우리공화당,party_민중당,party_가자!평화인권당,party_공화당,party_국가혁명배당금당,party_국민새정당,party_민중민주당,party_한나라당,party_무소속,party_정의당,party_민생당,party_미래당,party_한국복지당,party_기본소득당,party_통일민주당,party_친박신당,party_새누리당,party_기독자유통일당,party_노동당,party_충청의미래당
20200415,2,21대국회의원선거_지역구,서울특별시,노원구,노원구병,151435,105415,104525,890,55556,46373.0,0.0,551.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200415,2,21대국회의원선거_지역구,서울특별시,은평구,은평구갑,206917,135749,134310,1439,86351,45589.0,0.0,0.0,0.0,0.0,819.0,0.0,0.0,0.0,0.0,0.0,1551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200415,2,21대국회의원선거_지역구,서울특별시,은평구,은평구을,210129,139045,137420,1625,78897,49796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6127.0,0.0,0.0,0.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0
20200415,2,21대국회의원선거_지역구,서울특별시,서대문구,서대문구갑,131930,91096,90105,991,47980,37522.0,330.0,1026.0,0.0,0.0,331.0,0.0,0.0,0.0,2916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200415,2,21대국회의원선거_지역구,서울특별시,서대문구,서대문구을,141386,96528,95103,1425,58328,35853.0,0.0,0.0,0.0,0.0,922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200415,2,21대국회의원선거_지역구,서울특별시,마포구,마포구갑,136147,96058,94929,1129,53160,40775.0,0.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0.0,0.0,0.0
20200415,2,21대국회의원선거_지역구,서울특별시,마포구,마포구을,189669,130575,128984,1591,69336,47443.0,0.0,0.0,0.0,0.0,760.0,0.0,0.0,0.0,0.0,11445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200415,2,21대국회의원선거_지역구,서울특별시,양천구,양천구갑,206747,152176,150810,1366,78196,67814.0,0.0,0.0,0.0,0.0,556.0,0.0,0.0,0.0,4244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200415,2,21대국회의원선거_지역구,서울특별시,양천구,양천구을,176413,117575,116022,1553,66759,47897.0,577.0,0.0,0.0,0.0,789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200415,2,21대국회의원선거_지역구,서울특별시,강서구,강서구갑,173756,114516,113415,1101,63397,43519.0,0.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,5490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
