sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_새로운미래,party_개혁신당,party_가락특권폐지당,party_대한국민당,party_민중민주당,party_한국국민당,party_무소속,party_녹색정의당,party_기후민생당,party_진보당,party_내일로미래로,party_자유통일당,party_새진보연합,party_우리공화당,party_자유민주당,party_소나무당,party_기독당,party_노동당,party_한국농어민당
20240410,2,22대국회의원선거_지역구,서울특별시,은평구,은평구을,195270,132329,130301,2028,74211.0,51612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,서대문구,서대문구갑,130042,89949,88443,1506,44890.0,38466,0.0,5087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,서대문구,서대문구을,141489,100604,99257,1347,57198.0,42059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,마포구,마포구갑,139968,101086,100077,1009,47743.0,48342,0.0,1959.0,0.0,0.0,0.0,0.0,0.0,2033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,마포구,마포구을,182761,125262,123402,1860,64715.0,47848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,양천구,양천구갑,195448,144597,143184,1413,71285.0,68959,0.0,0.0,0.0,0.0,0.0,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,양천구,양천구을,175761,119993,118255,1738,67962.0,50293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,강서구,강서구갑,168119,111747,110414,1333,64651.0,42703,3060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,강서구,강서구을,171060,117702,115955,1747,63601.0,52354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,강서구,강서구병,158668,106810,105343,1467,62297.0,43046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,구로구,구로구갑,205069,145719,143846,1873,80182.0,63664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,구로구,구로구을,141985,97999,96529,1470,57788.0,38741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,금천구,금천구,207518,135444,133112,2332,78587.0,54525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,영등포구,영등포구갑,193458,135823,134160,1663,73163.0,55913,0.0,5084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,영등포구,영등포구을,141494,100141,98945,1196,49651.0,48516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,동작구,동작구갑,180193,127106,125496,1610,63372.0,56498,5626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,동작구,동작구을,158571,117634,116115,1519,53395.0,62720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,관악구,관악구갑,242617,160858,157281,3577,89778.0,67503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,관악구,관악구을,204556,129706,127239,2467,73771.0,49418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,서초구,서초구갑,154336,110606,109301,1305,34488.0,74813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,서초구,서초구을,189614,136711,135042,1669,57404.0,77638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,강남구,강남구갑,156085,95785,94330,1455,33781.0,60549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,강남구,강남구을,168269,123961,122296,1665,50663.0,71633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,강남구,강남구병,143901,101634,100465,1169,32908.0,66597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,송파구,송파구갑,151559,109367,108191,1176,48831.0,56521,0.0,2839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,송파구,송파구을,191803,137090,135521,1569,57990.0,77531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,송파구,송파구병,220956,159563,157430,2133,80358.0,77072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,서울특별시,강동구,강동구갑,199231,148478,147200,1278,73791.0,70489,0.0,2920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
