sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_자유한국당,party_바른미래당,party_무소속,party_민주평화당,party_민중당,party_홍익당,party_대한애국당,party_노동당,party_한국국민당,party_정의당,party_국제녹색당
20180613,5,7회지방선거_광역의원지역구,서울특별시,성북구,성북구제4선거구,72804,39495,38327,1168,22403.0,12230.0,3259.0,0.0,0.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,5,7회지방선거_광역의원지역구,서울특별시,강북구,강북구제1선거구,74464,40671,39640,1031,23144.0,13202.0,3294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,5,7회지방선거_광역의원지역구,서울특별시,강북구,강북구제2선거구,66982,36333,35454,879,21929.0,9344.0,4181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,5,7회지방선거_광역의원지역구,서울특별시,강북구,강북구제3선거구,76526,43806,42797,1009,29422.0,8945.0,4430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,5,7회지방선거_광역의원지역구,서울특별시,강북구,강북구제4선거구,62888,35438,34342,1096,22518.0,8881.0,2943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,5,7회지방선거_광역의원지역구,서울특별시,도봉구,도봉구제1선거구,68746,44040,43072,968,30594.0,12478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,5,7회지방선거_광역의원지역구,서울특별시,도봉구,도봉구제2선거구,74027,41791,40671,1120,28604.0,12067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,5,7회지방선거_광역의원지역구,서울특별시,도봉구,도봉구제3선거구,58847,35997,35251,746,21913.0,10320.0,3018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,5,7회지방선거_광역의원지역구,서울특별시,도봉구,도봉구제4선거구,91076,51836,50547,1289,29676.0,14188.0,6683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,5,7회지방선거_광역의원지역구,서울특별시,노원구,노원구제1선거구,71068,43069,41907,1162,25526.0,10795.0,4201.0,0.0,0.0,1385.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,5,7회지방선거_광역의원지역구,서울특별시,노원구,노원구제2선거구,67305,41367,40058,1309,25555.0,10812.0,3691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,5,7회지방선거_광역의원지역구,서울특별시,노원구,노원구제3선거구,84760,53748,51699,2049,37593.0,14106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,5,7회지방선거_광역의원지역구,서울특별시,노원구,노원구제4선거구,80693,50799,49189,1610,36197.0,12992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,5,7회지방선거_광역의원지역구,서울특별시,노원구,노원구제5선거구,65086,37519,36425,1094,19177.0,8986.0,8262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,5,7회지방선거_광역의원지역구,서울특별시,노원구,노원구제6선거구,87458,56373,54733,1640,34022.0,10791.0,9920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,5,7회지방선거_광역의원지역구,서울특별시,은평구,은평구제1선거구,90914,51677,50486,1191,31560.0,13530.0,5396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
