sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_자유한국당,party_국민의당,party_바른정당,party_정의당,party_새누리당,party_경제애국당,party_국민대통합당,party_늘푸른한국당,party_민중연합당,party_한국국민당,party_홍익당,party_무소속
20170509,1,19대대통령선거,부산광역시,강서구,대한민국,88518,68633,68417,216,30783,18711,10629,4875,3154,64,9,34,21,20,19,39,59
20170509,1,19대대통령선거,부산광역시,연제구,대한민국,175265,137602,137105,497,52454,44221,23321,9900,6745,130,15,59,20,53,27,55,105
20170509,1,19대대통령선거,부산광역시,수영구,대한민국,154637,119064,118686,378,43702,39832,20319,8414,5952,171,10,70,18,38,22,47,91
20170509,1,19대대통령선거,부산광역시,사상구,대한민국,198198,149868,149181,687,61743,46540,23023,10096,7156,125,20,109,28,75,46,52,168
20170509,1,19대대통령선거,대구광역시,중구,대한민국,68857,52180,51948,232,11477,24698,7170,5931,2369,157,5,22,9,21,10,42,37
20170509,1,19대대통령선거,대구광역시,동구,대한민국,294274,226510,225504,1006,47350,100166,31351,35819,9509,609,40,84,41,132,61,157,185
20170509,1,19대대통령선거,대구광역시,서구,대한민국,173359,127659,127010,649,22004,68782,17808,12259,5373,266,25,69,27,78,44,111,164
20170509,1,19대대통령선거,대구광역시,남구,대한민국,136206,100059,99587,472,19862,50304,13978,10365,4486,284,15,36,22,43,26,78,88
20170509,1,19대대통령선거,대구광역시,북구,대한민국,355739,276725,275492,1233,62526,121368,42369,33915,13833,626,48,85,55,128,81,165,293
20170509,1,19대대통령선거,대구광역시,수성구,대한민국,356388,285528,284457,1071,64922,123074,43698,38613,12778,718,30,81,58,127,43,121,194
20170509,1,19대대통령선거,대구광역시,달서구,대한민국,479081,374766,373113,1653,82726,165781,57956,45593,18805,1155,62,138,72,195,90,194,346
20170509,1,19대대통령선거,대구광역시,달성군,대한민국,179372,137920,137265,655,31753,60032,21427,15964,7287,242,34,48,40,80,46,118,194
20170509,1,19대대통령선거,인천광역시,중구,대한민국,94392,69220,68988,232,28030,16139,15405,4196,4837,122,14,59,22,54,19,27,64
20170509,1,19대대통령선거,인천광역시,동구,대한민국,59362,44672,44475,197,16501,11446,10479,2484,3296,64,21,42,10,42,19,28,43
20170509,1,19대대통령선거,인천광역시,남구,대한민국,352503,254020,253013,1007,96338,60603,61034,15593,18179,373,57,254,44,142,82,93,221
20170509,1,19대대통령선거,인천광역시,연수구,대한민국,262343,208175,207459,716,85853,41920,48166,15928,14622,303,32,231,40,105,55,67,137
20170509,1,19대대통령선거,인천광역시,남동구,대한민국,430938,327425,326203,1222,136132,66178,77693,21335,23230,470,59,267,80,251,97,89,322
20170509,1,19대대통령선거,인천광역시,부평구,대한민국,455450,345398,344065,1333,146859,66560,82590,21769,24630,501,72,263,64,222,107,103,325
20170509,1,19대대통령선거,인천광역시,계양구,대한민국,271262,205824,205018,806,88890,37234,48622,13418,15790,270,39,188,41,193,73,57,203
