sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_자유한국당,party_바른미래당,party_민주평화당,party_무소속,party_정의당,party_녹색당,party_한국국민당,party_대한애국당,party_민중당,party_한반도미래연합
20180613,4,7회지방선거_기초단체장,부산광역시,해운대구,해운대구,342079,200338,196481,3857,103226.0,74396.0,12531.0,0.0,6328.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,부산광역시,기장군,기장군,127882,76282,74632,1650,23535.0,14400.0,1629.0,0.0,2820.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,부산광역시,사하구,사하구,281099,160675,157799,2876,82997.0,63956.0,10846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,부산광역시,금정구,금정구,210978,126587,124173,2414,67679.0,56494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,부산광역시,강서구,강서구,92854,55514,54616,898,26662.0,17198.0,0.0,0.0,10756.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,부산광역시,연제구,연제구,174673,105911,104036,1875,53716.0,37267.0,0.0,0.0,13053.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,부산광역시,수영구,수영구,155794,90466,89026,1440,38953.0,40188.0,3919.0,0.0,5966.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,부산광역시,사상구,사상구,195478,114150,111880,2270,58153.0,53727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,대구광역시,중구,중구,68303,39862,38939,923,12932.0,20126.0,5881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,대구광역시,동구,동구,295860,171630,168228,3402,55546.0,62891.0,43374.0,0.0,3567.0,0.0,0.0,0.0,2850.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,대구광역시,서구,서구,167260,89618,87680,1938,24798.0,43894.0,18988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,대구광역시,남구,남구,134493,72239,70389,1850,22302.0,31957.0,0.0,0.0,14088.0,0.0,0.0,0.0,2042.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,대구광역시,북구,북구,360010,205765,201520,4245,81736.0,98984.0,20800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,대구광역시,수성구,수성구,351854,211812,207903,3909,91481.0,116422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,대구광역시,달서구,달서구,472669,265996,260348,5648,113699.0,146649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,대구광역시,달성군,달성군,196837,115197,111169,4028,0.0,46695.0,0.0,0.0,64474.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,인천광역시,중구,중구,98608,53664,52613,1051,29598.0,19829.0,3186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,인천광역시,동구,동구,57559,34760,33805,955,20423.0,13382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,인천광역시,남구,남구,356508,183862,179924,3938,94068.0,54910.0,10731.0,0.0,0.0,20215.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,인천광역시,연수구,연수구,269626,160559,157905,2654,92506.0,55531.0,7742.0,2126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,인천광역시,남동구,남동구,441132,246564,241837,4727,121253.0,56054.0,11276.0,0.0,0.0,53254.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,인천광역시,부평구,부평구,448618,241851,237275,4576,165642.0,71633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,인천광역시,계양구,계양구,266216,143906,141297,2609,97288.0,30589.0,0.0,0.0,13420.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,인천광역시,서구,서구,422819,230164,226463,3701,144002.0,65063.0,14193.0,0.0,3205.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,인천광역시,강화군,강화군,60755,39945,39004,941,10382.0,16861.0,0.0,0.0,11761.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,인천광역시,옹진군,옹진군,18938,13911,13427,484,5414.0,4947.0,0.0,0.0,1128.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,광주광역시,동구,동구,82265,51552,50599,953,27283.0,0.0,2869.0,20447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,광주광역시,서구,서구,247275,147795,144783,3012,96441.0,0.0,0.0,0.0,48342.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,광주광역시,남구,남구,176964,106285,104168,2117,71721.0,0.0,0.0,9304.0,1852.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,광주광역시,북구,북구,358914,210565,206116,4449,159151.0,0.0,0.0,46965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,광주광역시,광산구,광산구,307011,178024,174626,3398,132411.0,0.0,0.0,27171.0,15044.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,대전광역시,동구,동구,191362,106341,104196,2145,54428.0,25277.0,24491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,대전광역시,중구,중구,206042,116947,114593,2354,74565.0,31870.0,8158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,대전광역시,서구,서구,395367,226561,222331,4230,147746.0,56375.0,18210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,대전광역시,유성구,유성구,272663,168305,165917,2388,104961.0,37455.0,23501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,대전광역시,대덕구,대덕구,154079,88845,86879,1966,50263.0,36616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,울산광역시,중구,중구,194908,128328,125752,2576,65267.0,60485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,울산광역시,남구,남구,274930,176695,170603,6092,74697.0,73332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22574.0,0.0
20180613,4,7회지방선거_기초단체장,울산광역시,동구,동구,134316,86768,85056,1712,37085.0,28139.0,4226.0,0.0,0.0,0.0,0.0,0.0,0.0,15606.0,0.0
20180613,4,7회지방선거_기초단체장,울산광역시,북구,북구,159030,104133,102372,1761,46631.0,33312.0,3431.0,0.0,2614.0,0.0,0.0,0.0,0.0,16384.0,0.0
20180613,4,7회지방선거_기초단체장,울산광역시,울주군,울주군,179366,114776,112044,2732,55765.0,50796.0,0.0,0.0,5483.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,수원시장안구,수원시,202140,121942,120346,1596,80561.0,32260.0,7525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,수원시권선구,수원시,342897,197362,194638,2724,127476.0,55448.0,11714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,수원시팔달구,수원시,161673,88398,87158,1240,55683.0,26451.0,5024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,수원시영통구,수원시,273531,174673,172609,2064,121351.0,39710.0,11548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,성남시수정구,성남시,204053,115712,113429,2283,67660.0,31301.0,12392.0,0.0,0.0,0.0,0.0,0.0,0.0,2076.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,성남시중원구,성남시,195192,112195,110108,2087,66344.0,31609.0,9917.0,0.0,0.0,0.0,0.0,0.0,0.0,2238.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,성남시분당구,성남시,401672,266968,263032,3936,146497.0,88788.0,25228.0,0.0,0.0,0.0,0.0,0.0,0.0,2519.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,의정부시,의정부시,366459,198526,195343,3183,127676.0,58293.0,9374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,안양시만안구,안양시,216498,129858,127969,1889,70697.0,51084.0,6188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,안양시동안구,안양시,268004,174900,172646,2254,98333.0,64044.0,10269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,부천시,부천시,715281,396271,389797,6474,258028.0,79726.0,31582.0,0.0,20461.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,광명시,광명시,270792,166882,164459,2423,110907.0,36672.0,16880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,평택시,평택시,394222,209725,206732,2993,127675.0,79057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,양주시,양주시,171243,94174,92655,1519,66623.0,26032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,동두천시,동두천시,80603,43681,42771,910,21848.0,17153.0,3770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,안산시상록구,안산시,301162,160037,157219,2818,91787.0,45105.0,20327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,안산시단원구,안산시,252537,134641,132391,2250,70777.0,41744.0,19870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,고양시덕양구,고양시,398866,232143,228641,3502,132702.0,60696.0,12454.0,0.0,0.0,22789.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,고양시일산동구,고양시,234054,132766,130951,1815,75186.0,36905.0,9196.0,0.0,0.0,9664.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,고양시일산서구,고양시,222085,132845,131264,1581,79159.0,36310.0,7200.0,0.0,0.0,8595.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,과천시,과천시,46715,32775,32500,275,16366.0,11726.0,951.0,0.0,3457.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,의왕시,의왕시,127960,82380,81309,1071,36654.0,17118.0,0.0,0.0,27537.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,구리시,구리시,165295,97704,96457,1247,57895.0,38562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,남양주시,남양주시,537349,294808,289972,4836,186730.0,77427.0,22695.0,0.0,0.0,0.0,0.0,0.0,3120.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,오산시,오산시,169638,90091,89001,1090,64340.0,19028.0,5633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,화성시,화성시,551721,313779,309076,4703,182608.0,60622.0,47475.0,18371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,시흥시,시흥시,350586,185311,182412,2899,132261.0,50151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,군포시,군포시,228999,144556,142821,1735,80139.0,35427.0,24649.0,0.0,2606.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,하남시,하남시,194181,115419,113955,1464,75119.0,38836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,파주시,파주시,352518,193804,190717,3087,116023.0,55958.0,11760.0,0.0,0.0,6976.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,여주시,여주시,94136,55406,54309,1097,18399.0,18090.0,0.0,0.0,15946.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,이천시,이천시,171518,93704,92147,1557,52991.0,39156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,4,7회지방선거_기초단체장,경기도,용인시처인구,용인시,192573,106685,105127,1558,53711.0,46646.0,3604.0,1166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
