sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_코리아당,party_무소속,party_국민대통합당,party_정의당,party_진보당,party_한류연합당,party_우리공화당
20220601,4,8회지방선거_기초단체장,부산광역시,강서구,강서구,112859,51488,50667,821,20515.0,30152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,부산광역시,연제구,연제구,180173,92059,90684,1375,35803.0,54881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,부산광역시,수영구,수영구,156247,74916,73658,1258,19441.0,51528.0,0.0,2689.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,부산광역시,사상구,사상구,184625,87671,86061,1610,31876.0,54185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,대구광역시,동구,동구,297073,131010,128124,2886,28767.0,99357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,대구광역시,서구,서구,148238,66444,64470,1974,0.0,43750.0,0.0,20720.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,대구광역시,남구,남구,129053,54691,53514,1177,9866.0,43648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,대구광역시,북구,북구,373423,160421,156163,4258,0.0,121281.0,0.0,34882.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,대구광역시,수성구,수성구,349048,157518,154795,2723,38287.0,116508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,대구광역시,달성군,달성군,214580,91327,89574,1753,14410.0,62115.0,0.0,13049.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,인천광역시,중구,중구,124974,57362,56372,990,24499.0,31873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,인천광역시,동구,동구,52728,28942,28253,689,12729.0,13705.0,0.0,1819.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,인천광역시,미추홀구,미추홀구,358612,160328,156649,3679,70909.0,85740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,인천광역시,연수구,연수구,317883,164270,162065,2205,73215.0,88850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,인천광역시,남동구,남동구,441226,212064,208688,3376,102160.0,106528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,인천광역시,부평구,부평구,426463,202617,198641,3976,101876.0,96765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,인천광역시,계양구,계양구,258156,144718,141939,2779,73079.0,64489.0,0.0,0.0,0.0,4371.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,인천광역시,서구,서구,472254,218374,214511,3863,104736.0,109775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,인천광역시,강화군,강화군,63147,39088,38010,1078,13438.0,0.0,0.0,6581.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,인천광역시,옹진군,옹진군,18895,12693,12254,439,5457.0,6797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,광주광역시,동구,동구,90255,38372,37683,689,30297.0,7386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,광주광역시,서구,서구,246841,97938,95826,2112,62304.0,0.0,0.0,33522.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,광주광역시,남구,남구,180158,71499,70208,1291,59023.0,11185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,광주광역시,북구,북구,363222,137861,134668,3193,113490.0,21178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,대전광역시,동구,동구,191882,94038,92278,1760,44663.0,47615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,대전광역시,중구,중구,199894,100340,98641,1699,42669.0,55972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,대전광역시,서구,서구,399035,192560,189708,2852,88685.0,101023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,대전광역시,유성구,유성구,289980,149571,147568,2003,75498.0,72070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,대전광역시,대덕구,대덕구,152766,76134,74710,1424,34840.0,39870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,울산광역시,중구,중구,181055,98388,95665,2723,38822.0,56843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,울산광역시,남구,남구,267930,134763,132752,2011,44914.0,87838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,울산광역시,동구,동구,127369,70832,66932,3900,0.0,30233.0,0.0,0.0,0.0,0.0,36699.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,울산광역시,북구,북구,175784,88504,87063,1441,34843.0,44062.0,0.0,0.0,0.0,8158.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,울산광역시,울주군,울주군,189051,99381,97297,2084,40081.0,57216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,수원시장안구,수원시,199204,106097,104934,1163,53790.0,51144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,수원시권선구,수원시,352407,173839,171752,2087,87838.0,83914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,수원시팔달구,수원시,164086,79284,78302,982,37328.0,40974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,수원시영통구,수원시,296856,160552,158996,1556,79500.0,79496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,성남시수정구,성남시,208907,106912,105447,1465,49980.0,53757.0,0.0,0.0,0.0,0.0,1710.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,성남시중원구,성남시,185468,94481,93342,1139,43386.0,48512.0,0.0,0.0,0.0,0.0,1444.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,성남시분당구,성남시,404133,250629,247993,2636,98247.0,147753.0,0.0,0.0,0.0,0.0,1993.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,의정부시,의정부시,400177,187914,185757,2157,85326.0,97594.0,0.0,2837.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,안양시만안구,안양시,208936,111040,109676,1364,55970.0,53706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,안양시동안구,안양시,265101,155856,154339,1517,77742.0,76597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,부천시,부천시,702974,347476,342900,4576,180005.0,162895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,광명시,광명시,247233,139606,138014,1592,73759.0,64255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,평택시,평택시,478356,208206,205725,2481,107159.0,98566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,양주시,양주시,197751,95179,93850,1329,43728.0,48002.0,0.0,2120.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,동두천시,동두천시,81074,39747,39040,707,16792.0,21063.0,0.0,1185.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,안산시상록구,안산시,305390,138969,137240,1729,64688.0,63244.0,0.0,8698.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,안산시단원구,안산시,266229,121617,120223,1394,54907.0,56532.0,0.0,8221.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,고양시덕양구,고양시,461775,241094,238510,2584,110861.0,118607.0,0.0,0.0,0.0,9042.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,고양시일산동구,고양시,229024,117263,116105,1158,49242.0,64212.0,0.0,0.0,0.0,2651.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,고양시일산서구,고양시,233891,125055,123801,1254,54487.0,66667.0,0.0,0.0,0.0,2647.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,과천시,과천시,65220,42667,42130,537,18384.0,23746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,의왕시,의왕시,138928,80580,79677,903,35302.0,44375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,구리시,구리시,164045,88188,87201,987,37986.0,47168.0,0.0,2047.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,남양주시,남양주시,610260,299347,296230,3117,137915.0,158315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
