sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_자유한국당,party_바른미래당,party_대한애국당,party_민주평화당,party_무소속,party_민중당,party_정의당,party_우리미래,party_녹색당,party_한국국민당,party_노동당,party_대한당,party_새누리당
20180613,6,7회지방선거_기초의원지역구,서울특별시,동대문구,동대문구라선거구,42856,25424,24845,579,12536.0,5734.0,3289.0,0.0,0.0,0.0,0.0,3286.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,동대문구,동대문구마선거구,25615,14924,14492,432,7808.0,4052.0,1882.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,동대문구,동대문구바선거구,37675,23118,22464,654,5784.0,5053.0,2460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,동대문구,동대문구사선거구,50739,30506,29724,782,7305.0,7554.0,2426.0,0.0,0.0,1508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,동대문구,동대문구아선거구,33486,19168,18579,589,4610.0,4695.0,1333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,중랑구,중랑구가선거구,40058,21222,20221,1001,3279.0,5930.0,1550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,중랑구,중랑구나선거구,37832,21174,20348,826,3944.0,5236.0,2264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,중랑구,중랑구다선거구,80673,42331,40342,1989,10472.0,2407.0,2563.0,0.0,761.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,중랑구,중랑구라선거구,47972,28657,27883,774,6252.0,6968.0,1617.0,0.0,0.0,1525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,중랑구,중랑구마선거구,43497,23451,22624,827,13522.0,5961.0,3141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,중랑구,중랑구바선거구,40586,25458,24659,799,14522.0,7242.0,2895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,중랑구,중랑구사선거구,61423,36509,35682,827,20314.0,10433.0,2612.0,0.0,0.0,1006.0,1317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,성북구,성북구가선거구,38181,22304,21488,816,11958.0,4910.0,4620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,성북구,성북구나선거구,62915,37830,36729,1101,7510.0,6951.0,4620.0,0.0,0.0,0.0,149.0,2687.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,성북구,성북구다선거구,57352,33953,33001,952,7390.0,6824.0,4265.0,0.0,0.0,1112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,성북구,성북구라선거구,43632,29069,28492,577,10465.0,4992.0,3943.0,0.0,0.0,762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,성북구,성북구마선거구,48193,29692,28615,1077,17740.0,6266.0,4609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,성북구,성북구바선거구,50097,29682,28862,820,7171.0,6321.0,3034.0,0.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,성북구,성북구사선거구,33583,17416,16750,666,9826.0,4889.0,2035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,성북구,성북구아선거구,39221,22081,21198,883,11792.0,5391.0,4015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,강북구,강북구가선거구,74464,40668,39366,1302,10195.0,10484.0,3240.0,0.0,0.0,0.0,437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,강북구,강북구나선거구,66982,36333,35230,1103,7726.0,7831.0,2784.0,0.0,0.0,0.0,466.0,3362.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,강북구,강북구다선거구,76526,43809,42505,1304,10488.0,8346.0,4732.0,0.0,575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,강북구,강북구라선거구,62888,35435,34298,1137,6896.0,6070.0,1601.0,0.0,0.0,2280.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,도봉구,도봉구가선거구,68746,44038,42123,1915,9224.0,4958.0,2121.0,0.0,0.0,0.0,223.0,0.0,3463.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,도봉구,도봉구나선거구,74027,41791,40050,1741,10250.0,7212.0,2779.0,0.0,0.0,0.0,0.0,3784.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,도봉구,도봉구다선거구,58847,35993,34903,1090,8516.0,8565.0,2986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,도봉구,도봉구라선거구,45830,27162,26327,835,14378.0,7277.0,4672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
